ID,Товар,Цена,Остаток
1,кейс для рыбалки до 44 секций,260,1
2,"Ведро складное для прикормки и малька ""Следопыт"" 11 л",204,50
3,"Ведро складное для прикормки и малька ""Следопыт"" 9 л",194,100
4,Жерлицы зимние бело-синие (не оснащенные),54,60
5,Жерлицы зимние бело-синие (оснащенные),73,7
6,Жерлицы зимние щука (оснащенная),73,1
7,"Жерлица"" Кружок"" Неоснащёная с светонакопительный флуоресцентым шестиком (светится в темноте)",56,1100
8,"Жерлица"" Кружок"" Оснащёная с светонакопительный флуоресцентым шестиком (светится в темноте)",72,5100
9,"Катушка 'ERAFISHING"" XS-200 в коробке",102,646
10,"Катушка 'ERAFISHING"" XS-200 без коробки",97,548
11,Катушка безинарционная KAIDA EHQ 02 2000,631,42
12,Катушка безинарционная KAIDA EHQ 02 3000,670,1
13,Катушка ERAFIHING ERA-777 5+1 4000 желтая,534,40
14,Катушка безинарционная KAIDA EHQ 02 4000,660,1
15,Катушка безинарционная KAIDA EHQ 02 5000,699,2
16,Катушка ERAFIHING ERA-777 5+1 5000 желтая,563,4
17,Нож для бура Тонар ЛР-100(L) (левое вращение),340,40
18,Нож для бура Тонар ЛР-100(R) (правое вращение),340,70
19,Нож для бура Тонар ЛР-130(L) (левое вращение),364,180
20,Нож для бура Тонар ЛР-150(L) (левое вращение),403,118
21,Нож для бура Тонар ЛР-150(R) (правое вращение),403,35
22,Кормушка OCTOPUS 100 гр,59,24
23,Кормушка OCTOPUS 40 гр,59,186
24,Кормушка OCTOPUS 50 гр,59,4
25,Кормушка OCTOPUS 60 гр,59,2
26,Кормушка OCTOPUS 70 гр,59,42
27,Кормушка OCTOPUS 80 гр,59,57
28,Кормушка OCTOPUS 90 гр,59,42
29,Косынка рыболовная 18 мм упаковка (10шт),136,47
30,Косынка рыболовная 20 мм упаковка (10шт),136,66
31,Косынка рыболовная 22 мм упаковка (10шт),136,48
32,Косынка рыболовная 25 мм упаковка (10шт),136,69
